word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
cup,"n. 杯子, 茶杯, 优胜杯\nvt. 使成杯状, 为...拔火罐",(kʌp),n,中考 高考 雅思,61009,0.0338474651280958,0.017931780556967,A1,1,初级,cet4
he,"pron. 他\nn. 男孩, 男人, 雄性动物",(hi:),p,中考 高考,3138899,0.2107895156868698,0.0581200605690084,A1,1,初级,cet4
the,art. 那,(ðә),a,中考 高考,23782115,0.1759081982405686,0.233138558113944,A1,1,初级,cet4
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目\na. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的\nvt. 装把手于, 进货, 备有, 放牧\nvi. 出新芽, 备货, 囤积",(stɒk),n,四级 六级 考研 托福 雅思 GRE,57330,0.1547182975754404,0.0793301936159079,A2,2,初级,cet4
gender,n. 性\nvt. 产生,('dʒendә),n,考研 雅思,24014,0.0500957774631464,0.7628883151494962,B1,3,中级,cet4
bear,"n. 熊\nvt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价\nvi. 忍受, 结果实, 压挤, 行进, 转向",(bєә),v,高考 托福 雅思,23972,0.1196395795094276,0.2364842316035374,A2,2,初级,cet4
yellow,n. 黄色\na. 黄色的,('jelәu),j,中考 高考 雅思,24139,0.0558846679647044,0.0768465967935705,A1,1,初级,cet4
leaf,"n. 叶, 树叶, 花瓣, 页\nvi. 生叶, 翻书页\nvt. 在...上长叶, 翻...的页",(li:f),n,中考 高考 四级 六级 考研,25938,0.039363096615005,0.1241807386845554,A2,2,初级,cet4
funny,"a. 好笑的, 有趣的, 滑稽的\nn. 滑稽人物",('fʌni),j,中考 高考 四级 考研,22379,0.3142231556369811,0.0212699405692837,B1,3,中级,cet4
progress,"n. 进步, 发展, 前进\nvi. 进步, 进行",('prәugres),n,中考 高考 四级 六级 考研 托福,26964,0.1869900608218365,0.3554739652870494,B1,3,中级,cet4
meal,"n. 一餐, 膳食, 粗粉\nvi. 进餐",(mi:l),n,中考 高考 雅思,23544,0.0922528032619775,0.0733520217465171,A2,2,初级,cet4
instruction,"n. 指令, 教导, 命令\n[计] 指令",(in'strʌkʃәn),n,中考 高考 四级 六级 考研 托福 雅思,27235,0.0472920873875527,0.6104644758582706,B2,4,中级,cet4
